Time,Heart Rate
11:38:00,108
11:37:00,116
11:36:00,114
11:35:00,107
11:34:00,112
11:33:00,119
11:32:00,124
11:31:00,117
11:30:00,102
11:29:00,101
11:28:00,108
11:27:00,117
11:26:00,121
11:25:00,124
11:24:00,124
11:23:00,119
11:22:00,122
11:21:00,123
11:20:00,96
11:19:00,97
11:18:00,105
11:17:00,97
11:16:00,93
11:15:00,90
11:14:00,89
11:13:00,104
11:12:00,88
11:11:00,92
11:10:00,108
11:09:00,120
11:08:00,123
11:07:00,124
11:06:00,120
11:05:00,116
11:04:00,113
11:03:00,123
11:02:00,121
11:01:00,122
11:00:00,124
10:59:00,126
10:58:00,108
10:57:00,94
10:56:00,84
10:55:00,82
10:54:00,83
10:53:00,81
10:52:00,80
10:51:00,83
10:50:00,92
10:49:00,97
10:48:00,103
10:47:00,108
10:46:00,116
10:45:00,116
10:44:00,108
10:43:00,125
10:42:00,129
10:41:00,124
10:40:00,133
10:39:00,139
10:38:00,119
10:37:00,115
10:36:00,124
10:35:00,117
10:34:00,124
10:33:00,130
10:32:00,126
10:31:00,124
10:29:00,134
10:28:00,136
10:27:00,139
10:26:00,112
10:25:00,110
10:24:00,106
10:23:00,103
10:22:00,102
10:21:00,98
10:20:00,97
10:19:00,106
10:18:00,106
10:17:00,110
10:16:00,114
10:15:00,107
10:14:00,109
10:13:00,114
10:12:00,116
10:11:00,107
10:10:00,101
10:09:00,105
10:08:00,102
10:07:00,100
10:06:00,105
10:05:00,114
10:04:00,117
10:03:00,120
10:02:00,119
10:01:00,111
10:00:00,96
09:59:00,110
09:58:00,122
09:57:00,131
09:56:00,109
09:55:00,102
09:54:00,101
09:53:00,91
09:52:00,91
09:51:00,89
09:50:00,87
09:49:00,86
09:48:00,81
09:47:00,80
09:46:00,81
09:45:00,84
09:44:00,87
09:43:00,79
09:42:00,78
09:41:00,89
09:40:00,96
09:39:00,102
09:38:00,98
09:37:00,91
09:36:00,91
09:35:00,103
09:34:00,106
09:33:00,101
09:32:00,107
09:31:00,102
09:30:00,108
09:29:00,106
09:28:00,110
09:27:00,102
09:26:00,96
09:25:00,95
09:24:00,98
09:23:00,96
09:22:00,101
09:21:00,107
09:20:00,115
09:19:00,100
09:18:00,92
09:17:00,98
09:16:00,97
09:15:00,101
09:14:00,94
09:13:00,94
09:12:00,95
09:11:00,101
09:10:00,99
09:09:00,101
09:08:00,95
09:07:00,96
09:06:00,104
09:05:00,111
09:04:00,120
09:03:00,114
09:02:00,104
09:01:00,101
09:00:00,98
08:59:00,94
08:58:00,97
08:57:00,90
08:16:00,108
08:15:00,96
08:14:00,97
08:13:00,87
08:12:00,81
08:11:00,87
08:10:00,86
08:09:00,92
08:08:00,78
08:07:00,77
08:06:00,77
08:05:00,75
08:04:00,71
08:03:00,72
08:02:00,71
08:01:00,69
08:00:00,80
07:59:00,74
07:58:00,68
07:57:00,70
07:56:00,70
07:55:00,71
07:54:00,68
07:53:00,70
07:52:00,66
07:51:00,69
07:50:00,68
07:49:00,65
07:48:00,69
07:47:00,72
07:46:00,78
07:45:00,68
07:44:00,67
07:43:00,68
07:42:00,66
07:41:00,65
07:40:00,65
07:39:00,67
07:38:00,76
07:37:00,73
07:36:00,65
07:35:00,66
07:34:00,71
07:33:00,66
07:32:00,66
07:31:00,65
07:30:00,65
07:29:00,67
07:28:00,65
07:27:00,65
07:26:00,66
07:25:00,68
07:24:00,65
07:23:00,66
07:22:00,66
07:21:00,65
07:20:00,65
07:19:00,66
07:18:00,65
07:17:00,65
07:16:00,65
07:15:00,65
07:14:00,64
07:13:00,63
07:12:00,70
07:11:00,70
07:10:00,70
07:09:00,67
07:08:00,67
07:07:00,75
07:06:00,77
07:05:00,73
07:04:00,73
07:03:00,76
07:02:00,76
07:01:00,78
07:00:00,71
06:59:00,63
06:58:00,65
06:57:00,69
06:56:00,62
06:55:00,62
06:54:00,61
06:53:00,63
06:52:00,65
06:51:00,73
06:50:00,73
06:49:00,70
06:48:00,74
06:47:00,72
06:46:00,74
06:45:00,74
06:44:00,71
06:43:00,72
06:42:00,72
06:41:00,77
06:40:00,73
06:39:00,71
06:38:00,72
06:37:00,69
06:36:00,70
06:35:00,69
06:34:00,72
06:33:00,74
06:32:00,71
06:31:00,70
06:30:00,73
06:29:00,69
06:28:00,75
06:27:00,68
06:26:00,72
06:25:00,64
06:24:00,65
06:23:00,63
06:22:00,62
06:21:00,63
06:20:00,63
06:19:00,62
06:18:00,62
06:17:00,64
06:16:00,69
06:15:00,69
06:14:00,64
06:13:00,65
06:12:00,63
06:11:00,66
06:10:00,66
06:09:00,65
06:08:00,67
06:07:00,67
06:06:00,63
06:05:00,65
06:04:00,60
06:03:00,61
06:02:00,71
06:01:00,67
06:00:00,63
05:59:00,67
05:58:00,67
05:57:00,62
05:56:00,63
05:55:00,70
05:54:00,67
05:53:00,65
05:52:00,63
05:51:00,62
05:50:00,63
05:49:00,66
05:48:00,69
05:47:00,68
05:46:00,75
05:45:00,74
05:44:00,74
05:43:00,72
05:42:00,68
05:41:00,69
05:40:00,69
05:39:00,66
05:38:00,66
05:37:00,64
05:36:00,62
05:35:00,62
05:34:00,78
05:33:00,77
05:32:00,76
05:31:00,83
05:30:00,76
05:29:00,64
05:28:00,63
05:27:00,63
05:26:00,64
05:25:00,64
05:24:00,64
05:23:00,64
05:22:00,63
05:21:00,63
05:20:00,64
05:19:00,64
05:18:00,64
05:17:00,64
05:16:00,64
05:15:00,65
05:14:00,64
05:13:00,64
05:12:00,65
05:11:00,64
05:10:00,65
05:09:00,64
05:08:00,64
05:07:00,64
05:06:00,66
05:05:00,66
05:04:00,65
05:03:00,65
05:02:00,65
05:01:00,64
05:00:00,64
04:59:00,63
04:58:00,62
04:57:00,73
04:56:00,82
04:55:00,86
04:54:00,77
04:53:00,66
04:52:00,66
04:51:00,66
04:50:00,66
04:49:00,66
04:48:00,66
04:47:00,66
04:46:00,67
04:45:00,66
04:44:00,66
04:43:00,67
04:42:00,68
04:41:00,67
04:40:00,67
04:39:00,67
04:38:00,67
04:37:00,71
04:36:00,67
04:35:00,66
04:34:00,65
04:33:00,74
04:32:00,77
04:31:00,67
04:30:00,67
04:29:00,68
04:28:00,67
04:27:00,66
04:26:00,67
04:25:00,67
04:24:00,67
04:23:00,67
04:22:00,66
04:21:00,67
04:20:00,68
04:19:00,68
04:18:00,68
04:17:00,67
04:16:00,67
04:15:00,69
04:14:00,68
04:13:00,68
04:12:00,66
04:11:00,69
04:10:00,68
04:09:00,69
04:08:00,69
04:07:00,72
04:06:00,72
04:05:00,68
04:04:00,71
04:03:00,72
04:02:00,71
04:01:00,70
04:00:00,69
03:59:00,75
03:58:00,77
03:57:00,72
03:56:00,71
03:55:00,72
03:54:00,69
03:53:00,72
03:52:00,71
03:51:00,71
03:50:00,72
03:49:00,73
03:48:00,72
03:47:00,78
03:46:00,75
03:45:00,74
03:44:00,70
03:43:00,72
03:42:00,77
03:41:00,71
03:40:00,70
03:39:00,69
03:38:00,69
03:37:00,68
03:36:00,68
03:35:00,67
03:34:00,72
03:33:00,80
03:32:00,71
03:31:00,69
03:30:00,72
03:29:00,76
03:28:00,74
03:27:00,70
03:26:00,71
03:25:00,70
03:24:00,71
03:23:00,69
03:22:00,70
03:21:00,70
03:20:00,69
03:19:00,82
03:18:00,80
03:17:00,70
03:16:00,69
03:15:00,69
03:14:00,71
03:13:00,71
03:12:00,67
03:11:00,68
03:10:00,69
03:09:00,69
03:08:00,76
03:07:00,75
03:06:00,69
03:05:00,69
03:04:00,70
03:03:00,71
03:02:00,68
03:01:00,68
03:00:00,69
02:59:00,69
02:58:00,69
02:57:00,70
02:56:00,70
02:55:00,67
02:54:00,66
02:53:00,65
02:52:00,71
02:51:00,73
02:50:00,70
02:49:00,74
02:48:00,76
02:47:00,70
02:46:00,69
02:45:00,69
02:44:00,71
02:43:00,79
02:42:00,77
02:41:00,69
02:40:00,67
02:39:00,70
02:38:00,74
02:37:00,71
02:36:00,70
02:35:00,71
02:34:00,70
02:33:00,72
02:32:00,77
02:31:00,76
02:30:00,73
02:29:00,69
02:28:00,69
02:27:00,70
02:26:00,68
02:25:00,69
02:24:00,69
02:23:00,69
02:22:00,70
02:21:00,68
02:20:00,67
02:19:00,69
02:18:00,69
02:17:00,71
02:16:00,75
02:15:00,80
02:14:00,80
02:13:00,74
02:12:00,74
02:11:00,78
02:10:00,81
02:09:00,85
02:08:00,85
02:07:00,89
02:06:00,89
02:05:00,76
02:04:00,77
02:03:00,75
02:02:00,75
02:01:00,77
02:00:00,77
01:59:00,76
01:58:00,82
01:57:00,89
01:56:00,90
01:55:00,85
01:54:00,77
01:53:00,82
01:52:00,90
01:51:00,92
01:50:00,83
01:49:00,86
01:48:00,86
01:47:00,81
01:46:00,86
01:45:00,82
01:44:00,82
01:43:00,81
01:42:00,81
01:41:00,83
01:40:00,87
01:39:00,90
01:38:00,94
01:37:00,95
01:36:00,94
01:35:00,77
01:34:00,73
01:33:00,75
01:32:00,77
01:31:00,83
01:30:00,88
01:29:00,84
01:28:00,85
01:27:00,91
01:26:00,91
01:25:00,84
01:24:00,83
01:23:00,87
01:22:00,83
01:21:00,83
01:20:00,86
01:19:00,93
01:18:00,91
01:17:00,88
01:16:00,87
01:15:00,82
01:14:00,84
01:13:00,85
01:12:00,87
01:11:00,87
01:10:00,89
01:09:00,85
01:08:00,84
01:07:00,83
01:06:00,84
01:05:00,84
01:04:00,82
01:03:00,86
01:02:00,89
01:01:00,88
01:00:00,89
00:59:00,88
00:58:00,87
00:57:00,85
00:56:00,87
00:55:00,90
00:54:00,85
00:53:00,80
00:52:00,81
00:51:00,80
00:50:00,81
00:49:00,85
00:48:00,85
00:47:00,83
00:46:00,89
00:45:00,92
00:44:00,85
00:43:00,84
00:42:00,80
00:41:00,87
00:40:00,87
00:39:00,87
00:38:00,84
00:37:00,81
00:36:00,80
00:35:00,90
00:34:00,90
00:33:00,87
00:32:00,85
00:31:00,82
00:30:00,80
00:29:00,82
00:28:00,83
00:27:00,83
00:26:00,85
00:25:00,86
00:24:00,87
00:23:00,89
00:22:00,87
00:21:00,86
00:20:00,89
00:19:00,94
00:18:00,96
00:17:00,98
00:16:00,91
00:15:00,89
00:14:00,89
00:13:00,90
00:12:00,86
00:11:00,93
00:10:00,95
00:09:00,96
00:08:00,94
00:07:00,95
00:06:00,97
00:05:00,90
00:04:00,93
00:03:00,89
00:02:00,91
00:01:00,94
00:00:00,93
