Time,Heart Rate
17:04:00,83
17:03:00,87
17:02:00,83
17:01:00,83
17:00:00,86
16:59:00,78
16:58:00,82
16:57:00,85
16:56:00,82
16:55:00,87
16:54:00,85
16:53:00,82
16:52:00,83
16:51:00,81
16:50:00,80
16:49:00,79
16:48:00,83
16:47:00,83
16:46:00,82
16:45:00,83
16:44:00,79
16:43:00,68
16:42:00,76
16:41:00,83
16:40:00,83
16:39:00,83
16:38:00,84
16:37:00,83
16:36:00,86
16:35:00,83
16:34:00,86
16:33:00,84
16:32:00,82
16:31:00,85
16:30:00,87
16:29:00,85
16:28:00,81
16:27:00,82
16:26:00,79
16:25:00,82
16:24:00,83
16:23:00,85
16:22:00,84
16:21:00,83
16:20:00,87
16:19:00,82
16:18:00,82
16:17:00,80
16:16:00,84
16:15:00,85
16:14:00,82
16:13:00,81
16:12:00,85
16:11:00,83
16:10:00,83
16:09:00,85
16:08:00,85
16:07:00,84
16:06:00,86
16:05:00,86
16:04:00,85
16:03:00,89
16:02:00,87
16:01:00,85
16:00:00,89
15:59:00,85
15:58:00,90
15:57:00,89
15:56:00,90
15:55:00,92
15:54:00,89
15:53:00,88
15:52:00,91
15:51:00,92
15:50:00,92
15:49:00,88
15:48:00,89
15:47:00,91
15:46:00,95
15:45:00,96
15:44:00,98
15:43:00,96
15:42:00,97
15:41:00,94
15:40:00,98
15:39:00,94
15:38:00,109
15:37:00,113
15:36:00,125
15:35:00,120
15:34:00,127
15:33:00,124
15:32:00,125
15:31:00,118
15:30:00,96
15:29:00,80
15:28:00,77
15:27:00,79
15:26:00,78
15:25:00,78
15:24:00,78
15:23:00,75
15:22:00,85
15:21:00,79
15:20:00,87
15:19:00,81
15:18:00,92
15:17:00,82
15:16:00,81
15:15:00,79
15:14:00,78
15:13:00,81
15:12:00,83
15:11:00,80
15:10:00,91
15:09:00,83
15:08:00,80
15:07:00,80
15:06:00,83
15:05:00,83
15:04:00,84
15:03:00,84
15:02:00,83
15:01:00,84
15:00:00,82
14:59:00,82
14:58:00,85
14:57:00,81
14:56:00,87
14:55:00,87
14:54:00,86
14:53:00,82
14:52:00,83
14:51:00,83
14:50:00,87
14:49:00,85
14:48:00,92
14:47:00,97
14:46:00,106
14:45:00,102
14:44:00,99
14:43:00,95
14:42:00,95
14:41:00,91
14:40:00,95
14:39:00,97
14:38:00,96
14:37:00,92
14:36:00,95
14:35:00,95
14:34:00,93
14:33:00,92
14:32:00,94
14:31:00,93
14:30:00,91
14:29:00,98
14:28:00,91
14:27:00,88
14:26:00,83
14:25:00,81
14:24:00,79
14:23:00,84
14:22:00,79
14:21:00,83
14:20:00,85
14:19:00,84
14:18:00,85
14:17:00,85
14:16:00,86
14:15:00,84
14:14:00,84
14:13:00,84
14:12:00,84
14:11:00,90
14:10:00,91
14:09:00,94
14:08:00,99
14:07:00,97
14:06:00,105
14:05:00,103
14:04:00,100
14:03:00,104
14:02:00,104
14:01:00,104
14:00:00,99
13:59:00,92
13:58:00,94
13:57:00,91
13:56:00,94
13:55:00,88
13:54:00,86
13:53:00,86
13:52:00,86
13:51:00,87
13:50:00,88
13:49:00,87
13:48:00,80
13:47:00,77
13:46:00,102
13:45:00,109
13:44:00,107
13:43:00,95
13:42:00,89
13:41:00,105
13:40:00,117
13:39:00,104
13:38:00,95
13:37:00,90
13:36:00,83
13:35:00,79
13:34:00,82
13:33:00,80
13:32:00,85
13:31:00,83
13:30:00,79
13:29:00,82
13:28:00,85
13:27:00,81
13:26:00,81
13:25:00,83
13:24:00,80
13:23:00,81
13:22:00,81
13:21:00,83
13:20:00,84
13:19:00,86
13:18:00,84
13:17:00,84
13:16:00,79
13:15:00,88
13:14:00,100
13:13:00,100
13:12:00,88
13:11:00,99
13:10:00,108
13:09:00,99
13:08:00,99
13:07:00,96
13:06:00,91
13:05:00,88
13:04:00,85
13:03:00,83
13:02:00,82
13:01:00,81
13:00:00,85
12:59:00,84
12:58:00,85
12:57:00,87
12:56:00,86
12:55:00,83
12:54:00,85
12:53:00,82
12:52:00,84
12:51:00,82
12:50:00,78
12:49:00,81
12:48:00,82
12:47:00,83
12:46:00,84
12:45:00,86
12:44:00,86
12:43:00,89
12:42:00,88
12:41:00,90
12:40:00,89
12:39:00,91
12:38:00,91
12:37:00,87
12:36:00,86
12:35:00,84
12:34:00,92
12:33:00,97
12:32:00,111
12:31:00,100
12:30:00,97
12:29:00,108
12:28:00,103
12:27:00,90
12:26:00,74
12:25:00,73
12:24:00,73
12:23:00,76
12:22:00,77
12:21:00,78
12:20:00,78
12:19:00,84
12:18:00,86
12:17:00,78
12:16:00,79
12:15:00,81
12:14:00,78
12:13:00,82
12:12:00,79
12:11:00,79
12:10:00,83
12:09:00,78
12:08:00,77
12:07:00,78
12:06:00,78
